rm -f pdml format.o zeek_csv.o
gcc -Wall -c format.c
gcc -Wall -c zeek_csv.c
gcc -Wall -o pdml format.o zeek_csv.o
[./tests/conn.log] Zeek log file being established... (0)
[./tests/conn.log]: Connection Established!
[./tests/conn.log]: #separator \x09
[./tests/conn.log]: 1760666692.337384,CAc6T42Gg9Cl1Xv2Ui,172.29.147.79,46700,8.8.8.8,53,udp,dns,0.021913,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666692.815794,CyGVPQ1ghDtJk1DAnb,172.29.147.79,59112,8.8.8.8,53,udp,dns,0.018113,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666694.370861,CkUhrU2U1rFOALFGfd,172.29.147.79,50333,8.8.8.8,53,udp,dns,0.022775,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666688.130275,C6jUHE49YYLgsNHn35,172.29.147.79,47506,140.82.113.6,443,tcp,-,13.098693,0,48447,RSTO,T,F,0,^hCdacCcfR,2,80,48,7619,-,6
[./tests/conn.log]: 1760666696.459504,CHmfvz2BMWcvVllr9h,172.29.147.79,37282,8.8.8.8,53,udp,dns,0.018599,0,387,SHR,T,F,0,Cd,0,0,2,443,-,17
[./tests/conn.log]: 1760666698.569802,CZSSqw4UMQiZMsOyyl,172.29.147.79,46668,8.8.8.8,53,udp,dns,0.017035,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666701.349464,CNZYsQ3Q0tP0fiooz4,172.29.147.79,58990,8.8.8.8,53,udp,dns,0.018810,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
[./tests/conn.log]: 1760666427.016278,CHPg5B1M9iTsSwYl8h,172.29.147.79,55810,20.189.173.4,443,tcp,-,0.464604,0,5158,SHR,T,F,0,^hCadcCf,0,0,12,2894,-,6
[./tests/conn.log]: 1760666728.516181,CvwEvy4DIpNwnfxh13,172.29.147.79,53848,20.189.173.13,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666429.064938,CIY3zk2nfXm4Grag94,172.29.147.79,55814,20.189.173.4,443,tcp,-,0.313565,0,5158,SHR,T,F,0,^hCdcCaf,0,0,13,2946,-,6
[./tests/conn.log]: 1760666429.909335,CNKOwwB0nEuQAp2Rc,172.29.147.79,55820,20.189.173.4,443,tcp,-,0.309991,0,5158,SHR,T,F,0,^hCdcaf,0,0,8,1238,-,6
[./tests/conn.log]: 1760666732.116241,C3SuKO1xLiYV0AlFq8,172.29.147.79,40518,13.89.179.10,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
